image_id,quality,layout,vocabulary_type,resolution_type,gt,pred,correct,error_type,note
1,easy,multi,IV,normal,鲁菏泽货0846LUHEZEHUO,鲁菏泽货0846LUHEZEHUO,True,correct,
2,easy,multi,IV,normal,万顺668WANSHUN,万顺668WANSHUN,True,correct,
3,easy,multi,IV,normal,兴顺199XINGSHUN,兴顺199XINGSHUN,True,correct,
4,easy,multi,IV,normal,合肥武运1588HEFEIWUYUN,合肥武运1588HEFEIWUYUN,True,correct,
5,easy,multi,IV,normal,天泰666TIANTAI,天泰666TIANTAI,True,correct,
6,easy,multi,IV,normal,天马88TIANMA,天马88TIANMA,True,correct,
7,easy,multi,IV,normal,家豪1688JIAHAO,家豪1688JIAHAO,True,correct,
8,easy,multi,IV,normal,永安1688YONGAN,永安1688YONGAN,True,correct,
9,easy,multi,IV,normal,浙上虞货0317ZHESHANGYUHUO,浙上虞货0317ZHESHANGYUHUO,True,correct,
10,easy,multi,IV,normal,浙上虞货0367,浙上虞货0367,True,correct,
11,easy,multi,IV,normal,浙上虞货0677,浙上虞货0677,True,correct,
12,easy,multi,IV,normal,浙上虞货0688,浙上虞货0688,True,correct,
13,easy,multi,IV,normal,浙上虞货0702,浙上虞货0702,True,correct,
14,easy,multi,IV,normal,浙余杭货01697ZHEYUHANGHUO,浙余杭货01697ZHEYUHANGHUO,True,correct,
15,easy,multi,IV,normal,浙余杭货02039ZHEYUHANGHUO,浙余杭货02839ZHEYUHANGHUO,False,single_char_error,
16,easy,multi,IV,normal,浙桐庐货00179ZHETONGLUHUO,浙桐庐货00179ZHETONGLUHUO,True,correct,
17,easy,multi,IV,normal,浙桐庐货00388ZHETONGLUHUO,浙桐庐货00388ZHETONGLUHUO,True,correct,
18,easy,multi,IV,normal,浙萧山货13178ZHEXIAOSHANHUO,浙萧山货13178ZHEXIAOSHANHUO,True,correct,
19,easy,multi,IV,normal,浙萧山货23653ZHEXIAOSHANHUO,浙萧山货23553ZHEXIAOSHANHUO,False,single_char_error,
20,easy,multi,IV,normal,浙萧山货25139,浙萧山货25079,False,multi_char_error,
21,easy,multi,IV,normal,浙诸暨货0151ZHEZHUJIHUO,浙诸暨货0151ZHEZHUJIHUO,True,correct,
22,easy,multi,IV,normal,浙诸暨货0780,浙诸暨货0780,True,correct,
23,easy,multi,IV,normal,浙诸暨货1035,浙诸暨货1035,True,correct,
24,easy,multi,IV,normal,浙诸暨货1056,浙诸暨货1056,True,correct,
25,easy,multi,IV,normal,浙诸暨货1098,浙诸暨货1098,True,correct,
26,easy,multi,IV,normal,浙诸暨货1177,浙诸暨货1177,True,correct,
27,easy,multi,IV,normal,浙诸暨货1236,浙诸暨货1236,True,correct,
28,easy,multi,IV,normal,浙长兴货3277ZHECHANGXINGHUO,浙长兴货3277ZHECHANGXINGHUO,True,correct,
29,easy,multi,IV,normal,皖兴隆1666WANXINGLONG,皖兴隆1666WANXINGLONG,True,correct,
30,easy,multi,IV,normal,皖利辛货2988WANLIXINHUO,皖利辛货2988WANLIXINHUO,True,correct,
31,easy,multi,IV,normal,皖周庄998WANZHOUZHUANG,皖周庄998WANZHOUZHUANG,True,correct,
32,easy,multi,IV,normal,皖太运978WANTAIYUN,皖太运978WANTAIYUN,True,correct,
33,easy,multi,IV,normal,皖寿县货3662WANSHOUXIANHUO,皖寿县货3662WANSHOUXIANHUO,True,correct,
34,easy,multi,IV,normal,皖巨龙198WANJULONG,皖巨龙198WANJULONG,True,correct,
35,easy,multi,IV,normal,皖民生268WANMINSHENG,皖民生268WANMINSHENG,True,correct,
36,easy,multi,IV,normal,皖霍山货0518WANHUOSHANHUO,皖霍山货0518WANHUOSHANHUO,True,correct,
37,easy,multi,IV,normal,芜湖海联5166WUHUHAILIAN,芜湖51616芜湖WUHUWUWUHU,False,multi_char_error,
38,easy,multi,IV,normal,融航机1889RONGHANGJI,融航机1889RONGHANGJI,True,correct,
