stage_variant,source_model_tag,eval_scope,src_char,tgt_char,raw_count,new_count,delta_count
p1_joint_inference_only,m04_joint,focus_pilot_105,8,3,3,1,-2
p1_joint_inference_only,m04_joint,focus_pilot_105,0,2,1,0,-1
p1_joint_inference_only,m04_joint,focus_pilot_105,7,0,1,0,-1
p1_joint_inference_only,m04_joint,focus_pilot_105,1,8,4,3,-1
p1_joint_inference_only,m04_joint,focus_pilot_105,8,6,10,9,-1
p1_joint_inference_only,m04_joint,focus_pilot_105,1,2,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,1,3,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,1,6,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,1,南,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,2,6,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,2,7,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,2,8,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,2,姑,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,3,0,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,3,7,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,3,9,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,5,2,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,5,3,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,5,塘,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,6,1,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,6,3,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,6,7,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,7,2,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,7,3,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,7,8,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,8,1,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,8,2,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,9,0,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,9,4,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,9,7,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,9,8,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,E,A,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,F,I,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,G,I,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,G,O,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,G,Y,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,H,Y,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,I,1,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,I,A,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,I,H,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,J,X,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,N,9,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,N,O,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,O,A,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,Q,S,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,S,8,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,U,I,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,U,J,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,U,X,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,X,6,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,X,I,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,Y,A,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,Z,U,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,丰,翔,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,云,淮,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,信,泉,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,兴,皖,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,号,货,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,周,皖,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,垛,5,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,城,淮,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,埠,5,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,富,亳,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,富,海,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,富,诸,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,嵊,钱,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,州,暨,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,州,江,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,平,富,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,庄,兴,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,日,阳,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,昌,祥,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,明,鸣,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,机,瑞,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,杭,泰,1,1,0
p1_joint_inference_only,m04_joint,focus_pilot_105,杭,诸,1,1,0
